Airline,Flight Number,Aircraft Company,Origin,Destination,Arrival Time,Departure Time,Flight Duration,Flight Stops,Carbon Emission,Flight Price,Date
"Air India Express, Air India",IX 1242,Airbus A320,Bengaluru,Delhi,12:55 AM,8:05 AM,7 hr 10 min,1 stop,225 kg CO2e,17356,"Thu, Nov 28"
"Air India Express, Air India",IX 1242,Airbus A320,Bengaluru,Delhi,12:55 AM,8:40 AM,7 hr 45 min,1 stop,200 kg CO2e,17356,"Thu, Nov 28"
"Air India Express, Air India",IX 2721,Airbus A320,Bengaluru,Delhi,4:50 AM,10:00 AM,5 hr 10 min,1 stop,196 kg CO2e,17644,"Thu, Nov 28"
IndiGo,6E 6288,Airbus A320neo,Bengaluru,Delhi,9:10 AM,3:05 PM,5 hr 55 min,1 stop,187 kg CO2e,18136,"Thu, Nov 28"
Air India,AI 2802,Airbus A320neo,Bengaluru,Delhi,6:45 PM,9:40 PM,2 hr 55 min,Nonstop,139 kg CO2e,18726,"Thu, Nov 28"
Akasa Air,QP 1880,Boeing 737MAX 8 Passenger,Bengaluru,Delhi,11:00 AM,4:25 PM,5 hr 25 min,1 stop,185 kg CO2e,18834,"Thu, Nov 28"
"Air India Express, Air India",IX 2511,Boeing 737,Bengaluru,Delhi,5:30 AM,9:35 AM,4 hr 5 min,1 stop,181 kg CO2e,19083,"Thu, Nov 28"
IndiGo,6E 6176,Airbus A320neo,Bengaluru,Delhi,7:45 AM,1:10 PM,5 hr 25 min,1 stop,154 kg CO2e,20696,"Thu, Nov 28"
IndiGo,6E 703,Airbus A321neo,Bengaluru,Delhi,1:25 PM,7:20 PM,5 hr 55 min,1 stop,181 kg CO2e,21523,"Thu, Nov 28"
IndiGo,6E 6583,Airbus A321neo,Bengaluru,Delhi,9:35 AM,2:40 PM,5 hr 5 min,1 stop,174 kg CO2e,27462,"Thu, Nov 28"
IndiGo,6E 6433,Airbus A321neo,Bengaluru,Delhi,7:00 AM,9:55 AM,2 hr 55 min,Nonstop,113 kg CO2e,11867,"Fri, Nov 29"
IndiGo,6E 869,Airbus A321neo,Bengaluru,Delhi,11:45 AM,2:40 PM,2 hr 55 min,Nonstop,113 kg CO2e,11997,"Fri, Nov 29"
Air India,AI 513,Airbus A350,Bengaluru,Delhi,7:45 AM,10:30 AM,2 hr 45 min,Nonstop,136 kg CO2e,12652,"Fri, Nov 29"
IndiGo,6E 6401,Airbus A321neo,Bengaluru,Delhi,1:00 PM,3:50 PM,2 hr 50 min,Nonstop,113 kg CO2e,11997,"Fri, Nov 29"
IndiGo,6E 2174,Airbus A321neo,Bengaluru,Delhi,3:20 PM,6:05 PM,2 hr 45 min,Nonstop,113 kg CO2e,11997,"Fri, Nov 29"
IndiGo,6E 6021,Airbus A321neo,Bengaluru,Delhi,5:45 AM,8:35 AM,2 hr 50 min,Nonstop,113 kg CO2e,12241,"Fri, Nov 29"
IndiGo,6E 2186,Airbus A321neo,Bengaluru,Delhi,8:00 AM,11:00 AM,3 hr,Nonstop,113 kg CO2e,12241,"Fri, Nov 29"
IndiGo,6E 871,Airbus A321neo,Bengaluru,Delhi,9:15 AM,12:05 PM,2 hr 50 min,Nonstop,113 kg CO2e,12241,"Fri, Nov 29"
